 current generation is : 17037 and best solution fitness is : 7228.763030878084
 current generation is : 17038 and best solution fitness is : 7228.763030878084
 current generation is : 17039 and best solution fitness is : 7228.763030878084
 current generation is : 17040 and best solution fitness is : 7228.763030878084
 current generation is : 17041 and best solution fitness is : 7228.763030878084
 current generation is : 17042 and best solution fitness is : 7228.763030878084
 current generation is : 17043 and best solution fitness is : 7228.763030878084
 current generation is : 17044 and best solution fitness is : 7228.763030878084
 current generation is : 17045 and best solution fitness is : 7228.763030878084
 current generation is : 17046 and best solution fitness is : 7228.763030878084
 current generation is : 17047 and best solution fitness is : 7228.763030878084
 current generation is : 17048 and best solution fitness is : 7228.763030878084
 current generation is : 17049 and best solution fitness is : 7228.763030878084
 current generation is : 17050 and best solution fitness is : 7228.763030878084
 current generation is : 17051 and best solution fitness is : 7228.763030878084
 current generation is : 17052 and best solution fitness is : 7228.763030878084
 current generation is : 17053 and best solution fitness is : 7228.763030878084
 current generation is : 17054 and best solution fitness is : 7228.763030878084
 current generation is : 17055 and best solution fitness is : 7228.763030878084
 current generation is : 17056 and best solution fitness is : 7228.763030878084
 current generation is : 17057 and best solution fitness is : 7228.763030878084
 current generation is : 17058 and best solution fitness is : 7228.763030878084
 current generation is : 17059 and best solution fitness is : 7228.763030878084
 current generation is : 17060 and best solution fitness is : 7228.763030878084
 current generation is : 17061 and best solution fitness is : 7228.763030878084
 current generation is : 17062 and best solution fitness is : 7228.763030878084
 current generation is : 17063 and best solution fitness is : 7228.763030878084
 current generation is : 17064 and best solution fitness is : 7228.763030878084
 current generation is : 17065 and best solution fitness is : 7228.763030878084
 current generation is : 17066 and best solution fitness is : 7228.763030878084
 current generation is : 17067 and best solution fitness is : 7228.763030878084
 current generation is : 17068 and best solution fitness is : 7228.763030878084
 current generation is : 17069 and best solution fitness is : 7228.763030878084
 current generation is : 17070 and best solution fitness is : 7228.763030878084
 current generation is : 17071 and best solution fitness is : 7228.763030878084
 current generation is : 17072 and best solution fitness is : 7228.763030878084
 current generation is : 17073 and best solution fitness is : 7228.763030878084
 current generation is : 17074 and best solution fitness is : 7228.763030878084
 current generation is : 17075 and best solution fitness is : 7228.763030878084
 current generation is : 17076 and best solution fitness is : 7228.763030878084
 current generation is : 17077 and best solution fitness is : 7228.763030878084
 current generation is : 17078 and best solution fitness is : 7228.763030878084
 current generation is : 17079 and best solution fitness is : 7228.763030878084
 current generation is : 17080 and best solution fitness is : 7228.763030878084
 current generation is : 17081 and best solution fitness is : 7228.763030878084
 current generation is : 17082 and best solution fitness is : 7228.763030878084
 current generation is : 17083 and best solution fitness is : 7228.763030878084
 current generation is : 17084 and best solution fitness is : 7228.763030878084
 current generation is : 17085 and best solution fitness is : 7228.763030878084
 current generation is : 17086 and best solution fitness is : 7228.763030878084
 current generation is : 17087 and best solution fitness is : 7228.763030878084
 current generation is : 17088 and best solution fitness is : 7228.763030878084
 current generation is : 17089 and best solution fitness is : 7228.763030878084
 current generation is : 17090 and best solution fitness is : 7228.763030878084
 current generation is : 17091 and best solution fitness is : 7228.763030878084
 current generation is : 17092 and best solution fitness is : 7228.763030878084
 current generation is : 17093 and best solution fitness is : 7228.763030878084
 current generation is : 17094 and best solution fitness is : 7228.763030878084
 current generation is : 17095 and best solution fitness is : 7228.05402214221
 current generation is : 17096 and best solution fitness is : 7228.05402214221
 current generation is : 17097 and best solution fitness is : 7228.05402214221
 current generation is : 17098 and best solution fitness is : 7228.05402214221
 current generation is : 17099 and best solution fitness is : 7228.05402214221
 current generation is : 17100 and best solution fitness is : 7228.05402214221
 current generation is : 17101 and best solution fitness is : 7228.05402214221
 current generation is : 17102 and best solution fitness is : 7228.05402214221
 current generation is : 17103 and best solution fitness is : 7228.05402214221
 current generation is : 17104 and best solution fitness is : 7228.05402214221
 current generation is : 17105 and best solution fitness is : 7228.05402214221
 current generation is : 17106 and best solution fitness is : 7228.05402214221
 current generation is : 17107 and best solution fitness is : 7228.05402214221
 current generation is : 17108 and best solution fitness is : 7228.05402214221
 current generation is : 17109 and best solution fitness is : 7228.05402214221
 current generation is : 17110 and best solution fitness is : 7228.05402214221
 current generation is : 17111 and best solution fitness is : 7228.05402214221
 current generation is : 17112 and best solution fitness is : 7228.05402214221
 current generation is : 17113 and best solution fitness is : 7228.05402214221
 current generation is : 17114 and best solution fitness is : 7228.05402214221
 current generation is : 17115 and best solution fitness is : 7228.05402214221
 current generation is : 17116 and best solution fitness is : 7228.05402214221
 current generation is : 17117 and best solution fitness is : 7228.05402214221
 current generation is : 17118 and best solution fitness is : 7228.05402214221
 current generation is : 17119 and best solution fitness is : 7228.05402214221
 current generation is : 17120 and best solution fitness is : 7228.05402214221
 current generation is : 17121 and best solution fitness is : 7228.05402214221
 current generation is : 17122 and best solution fitness is : 7228.05402214221
 current generation is : 17123 and best solution fitness is : 7228.05402214221
 current generation is : 17124 and best solution fitness is : 7228.05402214221
 current generation is : 17125 and best solution fitness is : 7228.05402214221
 current generation is : 17126 and best solution fitness is : 7228.05402214221
 current generation is : 17127 and best solution fitness is : 7228.05402214221
 current generation is : 17128 and best solution fitness is : 7228.05402214221
 current generation is : 17129 and best solution fitness is : 7228.05402214221
 current generation is : 17130 and best solution fitness is : 7228.05402214221
 current generation is : 17131 and best solution fitness is : 7228.05402214221
 current generation is : 17132 and best solution fitness is : 7228.05402214221
 current generation is : 17133 and best solution fitness is : 7228.05402214221
 current generation is : 17134 and best solution fitness is : 7228.05402214221
 current generation is : 17135 and best solution fitness is : 7228.05402214221
 current generation is : 17136 and best solution fitness is : 7228.05402214221
 current generation is : 17137 and best solution fitness is : 7228.05402214221
 current generation is : 17138 and best solution fitness is : 7228.05402214221
 current generation is : 17139 and best solution fitness is : 7228.05402214221
 current generation is : 17140 and best solution fitness is : 7228.05402214221
 current generation is : 17141 and best solution fitness is : 7228.05402214221
 current generation is : 17142 and best solution fitness is : 7228.05402214221
 current generation is : 17143 and best solution fitness is : 7228.05402214221
 current generation is : 17144 and best solution fitness is : 7228.05402214221
 current generation is : 17145 and best solution fitness is : 7228.05402214221
 current generation is : 17146 and best solution fitness is : 7228.05402214221
 current generation is : 17147 and best solution fitness is : 7228.05402214221
 current generation is : 17148 and best solution fitness is : 7228.05402214221
 current generation is : 17149 and best solution fitness is : 7228.05402214221
 current generation is : 17150 and best solution fitness is : 7228.05402214221
 current generation is : 17151 and best solution fitness is : 7228.05402214221
 current generation is : 17152 and best solution fitness is : 7228.05402214221
 current generation is : 17153 and best solution fitness is : 7228.05402214221
 current generation is : 17154 and best solution fitness is : 7228.05402214221
 current generation is : 17155 and best solution fitness is : 7228.05402214221
 current generation is : 17156 and best solution fitness is : 7228.05402214221
